# Метеостанция Москва (центр, Балчуг), Россия, WMO_ID=27605, выборка с 16.11.2019 по 30.01.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27605&lang=ru
#
"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"12.01.2020 21:00";"-0.1";"744.8";"756.4";"";"85";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"0.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-2.3";"Осадков нет";"12";"";"";"";"";
"12.01.2020 18:00";"-0.6";"746.4";"758.1";"";"77";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-4.1";"Осадков нет";"12";"";"";"";"";
"12.01.2020 15:00";"0.8";"747.2";"758.8";"";"61";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-6.0";"";"";"";"";"";"";
"12.01.2020 12:00";"-0.4";"750.1";"761.9";"";"61";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-7.0";"";"";"";"";"";"";
"12.01.2020 09:00";"-3.2";"752.3";"764.3";"";"86";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"4.0";"-5.2";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"7.0";
"12.01.2020 06:00";"-3.7";"753.2";"765.2";"";"89";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"-5.3";"Осадков нет";"12";"";"";"";"";
"12.01.2020 03:00";"-2.7";"753.4";"765.4";"";"88";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"-4.5";"";"";"";"";"";"";
"12.01.2020 00:00";"-2.3";"752.8";"764.6";"";"86";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.4";"";"";"";"";"";"";
"11.01.2020 21:00";"-1.1";"751.6";"763.4";"";"83";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"0.6";"";"";"";"";"";"10.0";"-3.7";"7.0";"12";"";"";"";"";
"11.01.2020 18:00";"0.0";"750.6";"762.4";"";"85";"Ветер, дующий с северо-запада";"1";"";"";"50%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-2.3";"7.0";"12";"";"";"";"";
"11.01.2020 15:00";"0.3";"749.6";"761.3";"";"92";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-0.9";"";"";"";"";"";"";
"11.01.2020 12:00";"0.1";"748.9";"760.6";"";"94";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный сильный в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-0.7";"";"";"";"";"";"";
"11.01.2020 09:00";"0.4";"748.6";"760.3";"";"90";"Ветер, дующий с востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.0";"0.3";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"Менее 0.5";
"11.01.2020 06:00";"1.2";"748.9";"760.5";"";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"1.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.4";"Осадков нет";"12";"";"";"";"";
"11.01.2020 03:00";"1.3";"749.7";"761.4";"";"82";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.4";"";"";"";"";"";"";
"11.01.2020 00:00";"1.4";"750.0";"761.7";"";"81";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.6";"";"";"";"";"";"";
"10.01.2020 21:00";"1.6";"750.0";"761.7";"";"77";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"2.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.0";"Осадков нет";"12";"";"";"";"";
"10.01.2020 18:00";"1.7";"750.1";"761.8";"";"76";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.2";"Осадков нет";"12";"";"";"";"";
"10.01.2020 15:00";"1.9";"749.6";"761.2";"";"71";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-2.9";"";"";"";"";"";"";
"10.01.2020 12:00";"2.0";"750.0";"761.6";"";"74";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.2";"";"";"";"";"";"";
"10.01.2020 09:00";"1.8";"749.8";"761.4";"";"79";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"1.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.5";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"Менее 0.5";
"10.01.2020 06:00";"1.8";"749.7";"761.3";"";"76";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"1.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.1";"Осадков нет";"12";"";"";"";"";
"10.01.2020 03:00";"2.0";"749.8";"761.5";"";"76";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.8";"";"";"";"";"";"";
"10.01.2020 00:00";"2.2";"749.2";"760.8";"";"77";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.4";"";"";"";"";"";"";
"09.01.2020 21:00";"2.6";"748.9";"760.4";"";"75";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"2.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.4";"0.5";"12";"";"";"";"";
"09.01.2020 18:00";"2.5";"748.0";"759.6";"";"83";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.1";"2.0";"12";"";"";"";"";
"09.01.2020 15:00";"2.2";"746.8";"758.5";"";"87";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.2";"";"";"";"";"";"";
"09.01.2020 12:00";"0.9";"746.4";"758.0";"";"89";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Снег неливневый. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.8";"";"";"";"";"";"";
"09.01.2020 09:00";"-0.1";"746.1";"757.8";"";"88";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.9";"2.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"09.01.2020 06:00";"-0.4";"747.4";"759.1";"";"89";"Ветер, дующий с запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-2.0";"0.4";"12";"";"";"";"";
"09.01.2020 03:00";"0.8";"748.4";"760.1";"";"75";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-3.1";"";"";"";"";"";"";
"09.01.2020 00:00";"1.2";"749.8";"761.5";"";"73";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-3.2";"";"";"";"";"";"";
"08.01.2020 21:00";"1.3";"751.7";"763.4";"";"69";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"1.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-3.8";"Осадков нет";"12";"";"";"";"";
"08.01.2020 18:00";"1.1";"753.4";"765.1";"";"74";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-3.0";"Осадков нет";"12";"";"";"";"";
"08.01.2020 15:00";"1.3";"754.0";"765.7";"";"78";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.2";"";"";"";"";"";"";
"08.01.2020 12:00";"1.3";"755.1";"766.9";"";"83";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-1.3";"";"";"";"";"";"";
"08.01.2020 09:00";"1.0";"755.7";"767.5";"";"84";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"-0.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.5";"Осадков нет";"12";"";"";"";"";
"08.01.2020 06:00";"0.9";"756.1";"767.8";"";"83";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"-0.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.7";"Осадков нет";"12";"";"";"";"";
"08.01.2020 03:00";"0.5";"756.6";"768.4";"";"83";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.1";"";"";"";"";"";"";
"08.01.2020 00:00";"0.1";"757.0";"768.9";"";"84";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.3";"";"";"";"";"";"";
"07.01.2020 21:00";"-0.1";"757.3";"769.1";"";"82";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"0.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-2.8";"Осадков нет";"12";"";"";"";"";
"07.01.2020 18:00";"-0.1";"757.1";"769.0";"";"77";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-3.7";"Осадков нет";"12";"";"";"";"";
"07.01.2020 15:00";"-0.5";"756.7";"768.5";"";"76";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-4.3";"";"";"";"";"";"";
"07.01.2020 12:00";"-1.2";"756.5";"768.4";"";"75";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-5.2";"";"";"";"";"";"";
"07.01.2020 09:00";"-1.7";"756.4";"768.4";"";"74";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-1.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.8";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"Менее 0.5";
"07.01.2020 06:00";"-1.6";"756.1";"768.0";"";"69";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-1.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-6.7";"Осадков нет";"12";"";"";"";"";
"07.01.2020 03:00";"-1.3";"756.7";"768.6";"";"64";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-7.3";"";"";"";"";"";"";
"07.01.2020 00:00";"-0.9";"756.8";"768.7";"";"61";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-7.6";"";"";"";"";"";"";
"06.01.2020 21:00";"-0.9";"757.3";"769.3";"";"61";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"0.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-7.6";"Осадков нет";"12";"";"";"";"";
"06.01.2020 18:00";"-0.4";"757.6";"769.4";"";"61";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-7.1";"0.2";"12";"";"";"";"";
"06.01.2020 15:00";"0.0";"757.4";"769.3";"";"68";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.3";"";"";"";"";"";"";
"06.01.2020 12:00";"0.1";"757.6";"769.4";"";"68";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.1";"";"";"";"";"";"";
"06.01.2020 09:00";"-0.3";"757.3";"769.1";"";"75";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.3";"0.2";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"Менее 0.5";
"06.01.2020 06:00";"0.3";"755.9";"767.8";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"0.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-2.9";"Осадков нет";"12";"";"";"";"";
"06.01.2020 03:00";"0.1";"755.1";"766.9";"";"79";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-3.1";"";"";"";"";"";"";
"06.01.2020 00:00";"0.6";"753.7";"765.5";"";"65";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-5.3";"";"";"";"";"";"";
"05.01.2020 21:00";"0.7";"752.1";"763.9";"";"62";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"1.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-5.8";"Осадков нет";"12";"";"";"";"";
"05.01.2020 18:00";"1.0";"750.3";"762.0";"";"67";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-4.5";"Осадков нет";"12";"";"";"";"";
"05.01.2020 15:00";"1.7";"747.7";"759.4";"";"74";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.5";"";"";"";"";"";"";
"05.01.2020 12:00";"1.5";"746.0";"757.6";"";"76";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-2.3";"";"";"";"";"";"";
"05.01.2020 09:00";"1.0";"743.9";"755.5";"";"79";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"0.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.3";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"1.0";
"05.01.2020 06:00";"1.0";"741.7";"753.2";"";"82";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"-0.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.7";"Следы осадков";"12";"";"";"";"";
"05.01.2020 03:00";"1.4";"739.8";"751.3";"";"80";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.8";"";"";"";"";"";"";
"05.01.2020 00:00";"0.5";"739.0";"750.5";"";"82";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.2";"";"";"";"";"";"";
"04.01.2020 21:00";"0.1";"738.2";"749.8";"";"84";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-2.3";"1.0";"12";"";"";"";"";
"04.01.2020 18:00";"-0.2";"737.8";"749.3";"";"85";"Ветер, дующий с запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-2.4";"1.0";"12";"";"";"";"";
"04.01.2020 15:00";"0.0";"738.2";"749.8";"";"86";"Ветер, дующий с запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-2.1";"";"";"";"";"";"";
"04.01.2020 12:00";"0.0";"739.9";"751.4";"";"82";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-2.8";"";"";"";"";"";"";
"04.01.2020 09:00";"-0.4";"741.1";"752.8";"";"82";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"-0.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-3.1";"Осадков нет";"12";"";"";"";"";
"04.01.2020 06:00";"-0.7";"741.4";"753.0";"";"82";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"-0.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-3.5";"Осадков нет";"12";"";"";"";"";
"04.01.2020 03:00";"-0.4";"743.2";"754.8";"";"82";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-3.1";"";"";"";"";"";"";
"04.01.2020 00:00";"-0.2";"744.4";"756.0";"";"85";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-2.5";"";"";"";"";"";"";
"03.01.2020 21:00";"0.5";"745.3";"756.9";"";"84";"Ветер, дующий с юго-запада";"1";"";"";"40%.";" ";"";"";"";"2.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-1.9";"Осадков нет";"12";"";"";"";"";
"03.01.2020 18:00";"1.4";"745.7";"757.3";"";"83";"Ветер, дующий с западо-юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.2";"Осадков нет";"12";"";"";"";"";
"03.01.2020 15:00";"2.6";"746.2";"757.7";"";"82";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.2";"";"";"";"";"";"";
"03.01.2020 12:00";"2.3";"746.9";"758.5";"";"87";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"0.3";"";"";"";"";"";"";
"03.01.2020 09:00";"1.8";"747.4";"759.0";"";"90";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"1.8";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"0.3";"Осадков нет";"12";"";"";"";"";
"03.01.2020 06:00";"2.1";"746.8";"758.5";"";"90";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"0.6";"Осадков нет";"12";"";"";"";"";
"03.01.2020 03:00";"2.3";"747.7";"759.4";"";"89";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.6";"";"";"";"";"";"";
"03.01.2020 00:00";"2.5";"747.4";"759.0";"";"86";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.4";"";"";"";"";"";"";
